card_id,effect_id,position
1,1,0
2,2,0
2,3,1
4,4,0
5,1,0
5,4,1
6,5,0
6,6,1
7,5,0
7,7,1
7,48,2
7,60,3
8,8,0
9,9,0
9,10,1
10,2,0
10,11,1
10,16,2
10,12,3
11,13,0
12,14,0
12,15,1
13,13,0
13,17,1
14,18,0
15,19,0
16,20,0
17,21,0
19,22,0
20,23,0
21,24,0
22,25,0
23,26,0
23,2,1
24,27,0
24,28,1
25,29,0
25,30,1
26,5,0
26,64,1
28,31,0
29,32,0
30,33,0
30,34,1
31,35,0
32,36,0
33,37,0
34,38,0
35,39,0
36,40,0
37,41,0
38,42,0
39,43,0
40,46,0
41,44,0
41,47,1
42,49,0
42,50,1
43,51,0
44,49,0
44,7,1
44,48,2
44,52,3
45,53,0
46,54,0
48,55,0
49,56,0
50,57,0
51,58,0
52,59,0
53,5,0
53,60,1
53,61,2
55,62,0
56,65,0
57,66,0
59,69,0
60,70,0
60,71,1
61,72,0
63,13,0
63,70,1
64,74,0
64,75,1
65,76,0
65,77,1
